"test_country","MSE","num.trees","mtry","max.depth"
"angola","0.402218974289489","30","1","5"
"benin","0.168682913905236","150","2","5"
"burkina_faso","0.137428375436662","100","3","10"
"cameroon","0.382771522963342","50","1","5"
"cote_d_ivoire","0.30794457987055","200","1","5"
"democratic_republic_of_congo","0.268518073246574","30","1","5"
"ethiopia","0.423043201432021","30","1","10"
"ghana","0.390264796126748","30","1","5"
"guinea","0.16314773727822","50","5","10"
"kenya","0.223995739767441","200","1","5"
"lesotho","0.340150162087236","30","1","5"
"malawi","0.240784003021232","200","1","5"
"mali","0.158380212406668","100","1","5"
"mozambique","0.236040830389861","150","1","5"
"nigeria","0.405504200630767","100","1","5"
"rwanda","0.121437179388956","50","1","5"
"senegal","0.268944741108582","150","1","5"
"sierra_leone","0.191342074505079","200","1","10"
"tanzania","0.183946586854304","150","1","10"
"togo","0.108641666972033","200","1","5"
"uganda","0.157443322913803","50","1","5"
"zambia","0.281915263790422","150","1","5"
"zimbabwe","0.442078398428116","50","1","5"
