"test_country","MSE","num.trees","mtry","max.depth"
"angola","0.338410125781326","150","14","5"
"benin","0.152195874621327","30","2","5"
"burkina_faso","0.126664428218625","100","1","10"
"cameroon","0.334150229601475","30","3","5"
"cote_d_ivoire","0.221305799296922","30","4","5"
"democratic_republic_of_congo","0.209469357416171","150","15","10"
"ethiopia","0.283090116992607","30","16","5"
"ghana","0.249891644793876","30","15","10"
"guinea","0.130428281370616","200","11","10"
"kenya","0.190386572383535","50","1","5"
"lesotho","0.218011373211852","50","4","10"
"malawi","0.207547673546756","150","2","5"
"mali","0.123867224084109","200","1","10"
"mozambique","0.182336659280016","30","14","10"
"nigeria","0.332137188992712","150","14","5"
"rwanda","0.109158336322778","50","9","5"
"senegal","0.269413688927471","30","12","10"
"sierra_leone","0.144147996685686","200","3","10"
"tanzania","0.158659640879969","100","1","10"
"togo","0.0955059381483943","100","4","5"
"uganda","0.128284935554266","100","3","5"
"zambia","0.249412401572138","30","1","5"
"zimbabwe","0.368552580890365","30","6","10"
