"test_country","MSE","eta","max_depth","subsample","nrounds"
"angola","0.333617786627477","0.01","2","0.1","1000"
"benin","0.152490889045292","0.01","1","1","400"
"burkina_faso","0.127757719085771","0.1","1","0.2","400"
"cameroon","0.313633410042162","0.005","2","0.1","400"
"cote_d_ivoire","0.209923823656691","0.005","2","0.1","300"
"democratic_republic_of_congo","0.207774888871514","0.1","1","0.1","1000"
"ethiopia","0.284284839896534","0.1","2","0.1","400"
"ghana","0.251797214373703","0.1","2","1","1000"
"guinea","0.12494739946214","0.1","2","0.1","500"
"kenya","0.194590900298252","0.01","2","0.1","500"
"lesotho","0.220053213479918","0.1","2","0.2","1000"
"malawi","0.210552042905689","0.01","2","0.2","1000"
"mali","0.128611740135272","0.1","2","0.2","400"
"mozambique","0.183498141949679","0.1","2","0.1","300"
"nigeria","0.328106941939292","0.1","2","0.1","300"
"rwanda","0.11039640088161","0.1","2","0.2","500"
"senegal","0.224836821814611","0.005","2","0.1","300"
"sierra_leone","0.133287202059369","0.1","1","0.1","300"
"tanzania","0.161048375674277","0.1","2","1","500"
"togo","0.0946675053380478","0.005","2","0.1","500"
"uganda","0.129143217553633","0.005","2","0.1","1000"
"zambia","0.251979434483455","0.01","2","0.2","500"
"zimbabwe","0.364427567932169","0.1","2","0.5","400"
