"test_country","MSE","num.trees","mtry","max.depth"
"angola","0.357627807941546","30","12","5"
"benin","0.13651317597542","200","2","5"
"burkina_faso","0.113447530961037","50","2","5"
"cameroon","0.341747610779165","30","4","5"
"cote_d_ivoire","0.187487849375778","100","3","5"
"democratic_republic_of_congo","0.206630056332995","30","10","5"
"ethiopia","0.235456820371017","50","13","5"
"ghana","0.193309017560719","100","13","5"
"guinea","0.154144615870226","100","12","10"
"kenya","0.189817913694588","30","8","5"
"lesotho","0.16714639933503","200","2","5"
"malawi","0.196554337025303","200","2","5"
"mali","0.134034869667415","30","3","5"
"mozambique","0.189733804940115","200","6","5"
"nigeria","0.376114438776129","50","12","10"
"rwanda","0.135438600180318","30","3","10"
"senegal","0.303688668126589","100","9","10"
"sierra_leone","0.142000526510293","30","3","5"
"tanzania","0.146683340671632","30","3","5"
"togo","0.109650135078386","30","4","5"
"uganda","0.109220448108588","30","10","5"
"zambia","0.257343008214189","50","2","5"
"zimbabwe","0.348962084553824","200","2","10"
