"test_country","MSE","eta","max_depth","subsample","nrounds"
"angola","0.400309524635447","0.1","1","0.1","300"
"benin","0.159951943755283","0.01","1","1","300"
"burkina_faso","0.140955574495567","0.1","1","0.2","1000"
"cameroon","0.348346565983482","0.005","2","0.1","300"
"cote_d_ivoire","0.24498048612188","0.005","2","1","300"
"democratic_republic_of_congo","0.264143462322809","0.1","1","0.1","1000"
"ethiopia","0.423224064960065","0.1","2","1","1000"
"ghana","0.372476037797921","0.005","2","0.5","300"
"guinea","0.157581690852806","0.1","2","0.2","400"
"kenya","0.218861445685424","0.005","1","0.1","500"
"lesotho","0.316394539856462","0.005","1","0.5","300"
"malawi","0.237670682627543","0.005","1","0.5","1000"
"mali","0.145517241737028","0.005","2","0.1","400"
"mozambique","0.233771162364243","0.1","1","0.1","1000"
"nigeria","0.372017198265202","0.005","2","0.1","300"
"rwanda","0.120468186098869","0.1","1","0.5","500"
"senegal","0.233504359927304","0.005","2","0.1","300"
"sierra_leone","0.185405314404815","0.1","1","0.5","300"
"tanzania","0.186049763723885","0.1","1","1","1000"
"togo","0.0995441256554901","0.005","2","1","400"
"uganda","0.15587430017026","0.01","1","1","500"
"zambia","0.27764509910942","0.01","2","1","300"
"zimbabwe","0.431337186743201","0.005","2","0.1","400"
