"test_country","MSE","num.trees","mtry","max.depth"
"angola","0.361837541672694","50","1","5"
"benin","0.150477075018524","150","1","10"
"burkina_faso","0.115981444766719","150","5","10"
"cameroon","0.378137157255686","200","1","5"
"cote_d_ivoire","0.268519701475739","150","1","5"
"democratic_republic_of_congo","0.238608732705708","50","1","10"
"ethiopia","0.376893276799605","30","1","5"
"ghana","0.376102499463635","150","1","5"
"guinea","0.13412941624338","200","4","10"
"kenya","0.190578638246686","100","1","5"
"lesotho","0.209194647792891","30","1","5"
"malawi","0.238496069369466","200","1","5"
"mali","0.145980563505189","100","1","5"
"mozambique","0.217032290834192","50","1","5"
"nigeria","0.371263652114466","100","1","5"
"rwanda","0.112681109836992","30","1","5"
"senegal","0.268577502668502","50","2","5"
"sierra_leone","0.171688301133586","50","3","5"
"tanzania","0.154367289461037","200","2","10"
"togo","0.108923600018537","200","1","5"
"uganda","0.149587268453581","100","1","5"
"zambia","0.25362154156124","30","2","5"
"zimbabwe","0.435079060284898","200","1","5"
