"test_country","MSE","num.trees","mtry","max.depth"
"angola","0.357317971798024","100","1","5"
"benin","0.141486522368718","200","1","5"
"burkina_faso","0.120319882251972","100","1","5"
"cameroon","0.34240170504516","30","1","10"
"cote_d_ivoire","0.193073601103802","30","1","5"
"democratic_republic_of_congo","0.210734489482775","50","1","5"
"ethiopia","0.237111194650313","50","1","5"
"ghana","0.193171213469722","100","1","5"
"guinea","0.159338262019775","200","1","5"
"kenya","0.192304004590287","30","1","5"
"lesotho","0.169117078837514","30","1","5"
"malawi","0.2068932375207","200","1","5"
"mali","0.137428337444","30","1","5"
"mozambique","0.18855092166877","50","1","5"
"nigeria","0.379640309611403","150","1","5"
"rwanda","0.135076014434372","30","1","5"
"senegal","0.304729389369681","30","1","10"
"sierra_leone","0.162217396299038","30","1","5"
"tanzania","0.153227480016942","200","1","5"
"togo","0.111639159202532","200","1","5"
"uganda","0.114627796003699","50","1","5"
"zambia","0.262658225723841","30","1","5"
"zimbabwe","0.349571871394627","200","1","5"
