"test_country","MSE","eta","max_depth","subsample","nrounds"
"angola","0.351803364163898","0.01","1","0.1","1000"
"benin","0.136369380120197","0.005","2","0.2","500"
"burkina_faso","0.111060327698036","0.005","2","0.1","500"
"cameroon","0.300125939645169","0.005","2","0.1","300"
"cote_d_ivoire","0.184081898605344","0.005","2","0.5","400"
"democratic_republic_of_congo","0.2101115065024","0.1","1","0.2","400"
"ethiopia","0.236750522817683","0.1","2","0.1","500"
"ghana","0.190524176060033","0.1","1","0.1","500"
"guinea","0.156840808669009","0.1","2","0.1","500"
"kenya","0.188416825957596","0.01","1","0.1","400"
"lesotho","0.159483220727877","0.005","2","0.1","400"
"malawi","0.203997375959895","0.01","1","1","500"
"mali","0.12392370339415","0.005","2","0.1","300"
"mozambique","0.186289612374706","0.1","2","0.1","300"
"nigeria","0.348379476037556","0.005","2","0.1","300"
"rwanda","0.133647944191369","0.1","1","0.1","400"
"senegal","0.255545509151855","0.005","2","1","300"
"sierra_leone","0.159083318230463","0.005","1","0.1","1000"
"tanzania","0.151918223535754","0.01","1","0.2","500"
"togo","0.105077007799333","0.005","2","0.1","400"
"uganda","0.112788712949704","0.1","1","0.2","1000"
"zambia","0.258022973859681","0.01","1","0.5","500"
"zimbabwe","0.34084351801209","0.005","2","0.1","500"
