"test_country","MSE","eta","max_depth","subsample","nrounds"
"angola","0.359646816638286","0.01","2","0.5","1000"
"benin","0.136014437526381","0.005","2","0.1","500"
"burkina_faso","0.113063542218944","0.005","2","0.1","500"
"cameroon","0.297074749802745","0.005","2","0.1","300"
"cote_d_ivoire","0.183680799627788","0.005","2","1","400"
"democratic_republic_of_congo","0.207369507498259","0.1","2","0.2","300"
"ethiopia","0.234373120273605","0.1","1","0.1","500"
"ghana","0.194466672473103","0.01","2","0.2","1000"
"guinea","0.152899822108458","0.1","2","0.1","1000"
"kenya","0.188997105706779","0.1","1","1","500"
"lesotho","0.160698379907735","0.005","2","0.1","400"
"malawi","0.202629680882442","0.005","1","1","1000"
"mali","0.122271274057633","0.005","2","0.2","400"
"mozambique","0.188323058206728","0.01","1","0.5","1000"
"nigeria","0.350519745732383","0.005","2","0.1","300"
"rwanda","0.134379741124658","0.1","2","0.5","400"
"senegal","0.282161025768232","0.005","2","0.5","300"
"sierra_leone","0.155763104087786","0.1","2","1","300"
"tanzania","0.149865865886781","0.01","1","0.1","1000"
"togo","0.106795582015644","0.005","2","0.2","400"
"uganda","0.109798862334523","0.1","2","1","300"
"zambia","0.259380902004984","0.005","1","1","1000"
"zimbabwe","0.347149336645363","0.005","2","0.1","500"
