PICP,PINAW,CWC,Winkler_Score,reduction,image_type,point_method,interval_method,nominal_level,method,path
0.896,0.423,2.055,2.825,PCA,ms,Ridge,SC,95,SC_Ridge,dhs_ooc/PCA_099/resnet_ms_pca099/SC_Ridge/95
0.94,0.123,0.281,0.723,PCA,ms,RF,SC,95,SC_RF,dhs_ooc/PCA_099/resnet_ms_pca099/SC_RF/95
0.901,0.423,1.863,2.725,PCA,ms,XGBoost,SC,95,SC_XGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/SC_XGBoost/95
0.919,0.421,1.335,2.494,PCA,nl,Ridge,SC,95,SC_Ridge,dhs_ooc/PCA_099/resnet_nl_pca099/SC_Ridge/95
0.94,0.097,0.222,0.622,PCA,nl,RF,SC,95,SC_RF,dhs_ooc/PCA_099/resnet_nl_pca099/SC_RF/95
0.922,0.412,1.242,2.361,PCA,nl,XGBoost,SC,95,SC_XGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/SC_XGBoost/95
0.901,0.39,1.718,2.533,PCA,msnl,Ridge,SC,95,SC_Ridge,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_Ridge/95
0.946,0.077,0.162,0.451,PCA,msnl,RF,SC,95,SC_RF,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_RF/95
0.905,0.389,1.587,2.483,PCA,msnl,XGBoost,SC,95,SC_XGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_XGBoost/95
0.929,0.483,1.299,2.657,PCA,ms,Ridge,J_aB,95,J_aB_Ridge,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_Ridge/95
0.931,0.498,1.299,2.724,PCA,ms,RF,J_aB,95,J_aB_RF,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_RF/95
0.93,0.485,1.285,2.685,PCA,ms,XGBoost,J_aB,95,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_XGBoost/95
0.948,0.478,0.981,2.412,PCA,nl,Ridge,J_aB,95,J_aB_Ridge,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_Ridge/95
0.946,0.506,1.065,2.525,PCA,nl,RF,J_aB,95,J_aB_RF,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_RF/95
0.946,0.479,1.008,2.414,PCA,nl,XGBoost,J_aB,95,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_XGBoost/95
0.938,0.452,1.062,2.382,PCA,msnl,Ridge,J_aB,95,J_aB_Ridge,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_Ridge/95
0.936,0.462,1.118,2.425,PCA,msnl,RF,J_aB,95,J_aB_RF,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_RF/95
0.935,0.45,1.105,2.394,PCA,msnl,XGBoost,J_aB,95,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_XGBoost/95
0.922,0.436,1.314,2.608,PCA,ms,NGBoost,NGB,95,NGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/NGB/NGBoost/95
0.94,0.431,0.984,2.328,PCA,nl,NGBoost,NGB,95,NGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/NGB/NGBoost/95
0.926,0.406,1.146,2.334,PCA,msnl,NGBoost,NGB,95,NGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/NGB/NGBoost/95
